date,hours,kWh,gCO2perkWh,PUE
15/01/2022,0,0,0,0
2023,2174.14,0.013,177,1.6
2024,26836.24,0.013,177,1.6
2025,821,0.4,177,1.5
2025,218798.71,0.013,177,1.6
